id,departement-nom,titulaire-profession,titulaire-soutien,date,titulaire-soutien-harmo
EL009_L_1958_11_033_10_1_PF_05,Gironde,non mentionné,Groupe paysan,23/11/1958,Paysans / agrariens
EL009_L_1958_11_033_02_1_PF_01,Gironde,menuisier,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_033_02_1_PF_02,Gironde,professeur enseignement technique,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_033_02_1_PF_03,Gironde,avocat Cour,Centre national des indépendants et paysans,23/11/1958,CNIP / Indépendants et paysans
EL009_L_1958_11_033_02_1_PF_04,Gironde,général armée aérienne,Union des jeunes combattants des résistants des patriotes,23/11/1958,Gauche autogestionnaire / résistante
EL009_L_1958_11_033_03_1_PF_01,Gironde,non mentionné,Centre républicain,23/11/1958,Centre républicain
EL009_L_1958_11_033_03_1_PF_02,Gironde,professeur enseignement général cours professionnels Collège technique,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_033_03_1_PF_03,Gironde,cheminot,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_033_03_1_PF_04,Gironde,capitaine parachutistes coloniaux,Union des jeunes combattants des résistants des patriotes,23/11/1958,Gauche autogestionnaire / résistante
EL009_L_1958_11_033_04_1_PF_01,Gironde,employé commerce,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_033_04_1_PF_02,Gironde,pharmacien,aucun parti politique,23/11/1958,Sans parti
EL009_L_1958_11_033_04_1_PF_03,Gironde,non mentionné,Parti socialiste Section française de l'Internationale ouvrière autonome,23/11/1958,SFIO autonome
EL009_L_1958_11_033_04_1_PF_04,Gironde,tourneur sur métaux,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_033_04_1_PF_05,Gironde,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_033_04_1_PF_06,Gironde,propriétaire exploitant,Centre national des indépendants et paysans,23/11/1958,CNIP / Indépendants et paysans
EL009_L_1958_11_033_04_1_PF_07,Gironde,docteur-vétérinaire,Union des jeunes combattants des résistants des patriotes,23/11/1958,Gauche autogestionnaire / résistante
EL009_L_1958_11_033_05_1_PF_01,Gironde,agriculteur-viticulteur,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_033_05_1_PF_02,Gironde,docteur,Parti républicain radical et radical-socialiste,23/11/1958,Parti radical / radical-socialiste
EL009_L_1958_11_033_05_1_PF_03,Gironde,aviculteur,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_033_05_1_PF_04,Gironde,propriétaire viticulteur-sylviculteur et éleveur,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_033_05_1_PF_05,Gironde,comptable agréé,Union des jeunes combattants des résistants des patriotes,23/11/1958,Gauche autogestionnaire / résistante
EL009_L_1958_11_033_06_1_PF_01,Gironde,docteur en médecine,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_033_06_1_PF_02,Gironde,chef de section principal PTT,Parti socialiste Section française de l'Internationale ouvrière autonome,23/11/1958,SFIO autonome
EL009_L_1958_11_033_06_1_PF_03,Gironde,cheminot,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_033_06_1_PF_04,Gironde,secrétaire général mairie,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_033_06_1_PF_05,Gironde,docteur en médecine,Union des jeunes combattants des résistants des patriotes,23/11/1958,Gauche autogestionnaire / résistante
EL009_L_1958_11_033_07_1_PF_01,Gironde,non mentionné,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_033_07_1_PF_02,Gironde,journaliste RTF,Union internationale des démocrates chrétiens,23/11/1958,Démocratie chrétienne
EL009_L_1958_11_033_07_1_PF_03,Gironde,gemmeur,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_033_07_1_PF_04,Gironde,apiculteur,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_033_07_1_PF_05,Gironde,fabricant parquet,Centre national des indépendants et paysans,23/11/1958,CNIP / Indépendants et paysans
EL009_L_1958_11_033_08_1_PF_01,Gironde,non mentionné,Centre national des indépendants et paysans,23/11/1958,CNIP / Indépendants et paysans
EL009_L_1958_11_033_08_1_PF_02,Gironde,directeur technique municipal,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL009_L_1958_11_033_08_1_PF_03,Gironde,petit propriétaire viticulteur,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_033_08_1_PF_04,Gironde,avoué,Parti radical et radical-socialiste,23/11/1958,Parti radical / radical-socialiste
EL009_L_1958_11_033_08_1_PF_05,Gironde,propriétaire,Union des jeunes combattants des résistants des patriotes,23/11/1958,Gauche autogestionnaire / résistante
EL009_L_1958_11_033_09_1_PF_01,Gironde,avocat Barreau,Union pour la nouvelle République,23/11/1958,UNR
EL009_L_1958_11_033_09_1_PF_02,Gironde,agriculteur,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_033_09_1_PF_03,Gironde,propriétaire viticulteur,Républicains indépendants,23/11/1958,Républicains indépendants
EL009_L_1958_11_033_09_1_PF_04,Gironde,instituteur honoraire,Parti communiste français,23/11/1958,Parti communiste français
EL009_L_1958_11_033_09_1_PF_05,Gironde,non mentionné,non mentionné,23/11/1958,Non mentionné
EL009_L_1958_11_033_09_1_PF_06,Gironde,propriétaire viticulteur,Centre national des indépendants et paysans,23/11/1958,CNIP / Indépendants et paysans
EL010_L_1958_11_055_01_1_PF_01,Meuse,ouvrier usine,non mentionné,23/11/1958,Non mentionné
EL010_L_1958_11_055_01_1_PF_02,Meuse,non mentionné,non mentionné,23/11/1958,Non mentionné
EL010_L_1958_11_055_01_1_PF_03,Meuse,instituteur,Parti communiste français,23/11/1958,Parti communiste français
EL010_L_1958_11_055_02_1_PF_01,Meuse,avocat Barreau,Union pour la nouvelle République,23/11/1958,UNR
EL010_L_1958_11_055_02_1_PF_02,Meuse,docteur,non mentionné,23/11/1958,Non mentionné
EL010_L_1958_11_055_02_1_PF_03,Meuse,journaliste,non mentionné,23/11/1958,Non mentionné
EL010_L_1958_11_055_02_1_PF_04,Meuse,concessionnaire automobile,Républicain populaire,23/11/1958,Mouvement républicain populaire
EL010_L_1958_11_055_02_1_PF_05,Meuse,non mentionné,Centre républicain,23/11/1958,Centre républicain
EL010_L_1958_11_055_02_1_PF_06,Meuse,non mentionné,Parti communiste français,23/11/1958,Parti communiste français
EL011_L_1958_11_075_21_1_PF_01,Seine,chirurgien,Union pour la nouvelle République,23/11/1958,UNR
EL011_L_1958_11_075_21_1_PF_02,Seine,inspecteur PTT,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL011_L_1958_11_075_21_1_PF_03,Seine,fondateur journal,non mentionné,23/11/1958,Non mentionné
EL011_L_1958_11_075_21_1_PF_04,Seine,professeur lycée,Parti communiste français,23/11/1958,Parti communiste français
EL011_L_1958_11_075_21_1_PF_05,Seine,ingénieur-conseil,Rassemblement des gauches républicaines,23/11/1958,Gauche non communiste
EL011_L_1958_11_075_21_1_PF_06,Seine,rédacteur en chef tribune politique RTF,non mentionné,23/11/1958,Non mentionné
EL011_L_1958_11_080_01_1_PF_01,Somme,opticien,Union pour la nouvelle République,23/11/1958,UNR
EL011_L_1958_11_080_01_1_PF_02,Somme,non mentionné,Parti communiste français,23/11/1958,Parti communiste français
EL011_L_1958_11_080_01_1_PF_03,Somme,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL011_L_1958_11_080_01_1_PF_04,Somme,journaliste,Mouvement républicain populaire,23/11/1958,Mouvement républicain populaire
EL011_L_1958_11_080_01_1_PF_05,Somme,conseil juridique et fiscal,Centre national des indépendants et paysans,23/11/1958,CNIP / Indépendants et paysans
EL011_L_1958_11_080_01_1_PF_06,Somme,ingénieur électricien,non mentionné,23/11/1958,Non mentionné
EL011_L_1958_11_080_02_1_PF_01,Somme,non mentionné,Parti communiste français,23/11/1958,Parti communiste français
EL011_L_1958_11_080_02_1_PF_02,Somme,inspecteur PTT,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL011_L_1958_11_080_02_1_PF_03,Somme,cultivateur,non mentionné,23/11/1958,Non mentionné
EL011_L_1958_11_080_02_1_PF_04,Somme,artisan peintre,aucun parti politique,23/11/1958,Sans parti
EL011_L_1958_11_080_02_1_PF_05,Somme,non mentionné,Indépendant et paysan,23/11/1958,CNIP / Indépendants et paysans
EL011_L_1958_11_080_03_1_PF_01,Somme,transporteur,Union pour la nouvelle République,23/11/1958,UNR
EL011_L_1958_11_080_03_1_PF_02,Somme,cheminot,Parti communiste français,23/11/1958,Parti communiste français
EL011_L_1958_11_080_03_1_PF_03,Somme,artisan mécanicien en machines agricoles,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL011_L_1958_11_080_03_1_PF_04,Somme,artisan radio technicien,non mentionné,23/11/1958,Non mentionné
EL011_L_1958_11_080_04_1_PF_01,Somme,non mentionné,Fédération socialiste,23/11/1958,Socialiste indépendant / social-démocrate
EL011_L_1958_11_080_04_1_PF_02,Somme,petit cultivateur,Parti communiste français,23/11/1958,Parti communiste français
EL011_L_1958_11_080_04_1_PF_03,Somme,assureur,Convention républicaine,23/11/1958,Divers républicain
EL011_L_1958_11_080_04_1_PF_04,Somme,artisan photographe,non mentionné,23/11/1958,Non mentionné
EL011_L_1958_11_080_05_1_PF_01,Somme,non mentionné,Union pour la nouvelle République,23/11/1958,UNR
EL011_L_1958_11_080_05_1_PF_02,Somme,agriculteur,Rassemblement du peuple français,23/11/1958,Droite républicaine / gaulliste
EL011_L_1958_11_080_05_1_PF_03,Somme,métreur,Parti communiste français,23/11/1958,Parti communiste français
EL011_L_1958_11_080_05_1_PF_04,Somme,non mentionné,Parti socialiste,23/11/1958,Parti socialiste
EL011_L_1958_11_080_05_1_PF_05,Somme,journaliste,Parti républicain radical et radical-socialiste,23/11/1958,Parti radical / radical-socialiste
EL011_L_1958_11_089_01_1_PF_01,Yonne,avocat Barreau,Union pour la nouvelle République,23/11/1958,UNR
EL011_L_1958_11_089_01_1_PF_02,Yonne,ouvrier mouleur,Parti communiste français,23/11/1958,Parti communiste français
EL011_L_1958_11_089_01_1_PF_03,Yonne,non mentionné,Parti radical-socialiste,23/11/1958,Parti radical / radical-socialiste
EL011_L_1958_11_089_01_1_PF_04,Yonne,non mentionné,non mentionné,23/11/1958,Non mentionné
EL011_L_1958_11_089_01_1_PF_05,Yonne,non mentionné,Centre national des indépendants et paysans,23/11/1958,CNIP / Indépendants et paysans
EL011_L_1958_11_089_02_1_PF_01,Yonne,maître des requêtes Conseil d'Etat,non mentionné,23/11/1958,Non mentionné
EL011_L_1958_11_089_02_1_PF_02,Yonne,non mentionné,Union pour la nouvelle République,23/11/1958,UNR
EL011_L_1958_11_089_02_1_PF_03,Yonne,représentant,Parti communiste français,23/11/1958,Parti communiste français
EL011_L_1958_11_089_02_1_PF_04,Yonne,journaliste parlementaire,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL011_L_1958_11_089_02_1_PF_05,Yonne,non mentionné,Centre républicain,23/11/1958,Centre républicain
EL011_L_1958_11_089_02_1_PF_06,Yonne,assureur-conseil,Comité électoral de rénovation républicaine de la circonscription,23/11/1958,Comité local / divers
EL011_L_1958_11_089_02_1_PF_07,Yonne,non mentionné,Indépendant et paysan,23/11/1958,CNIP / Indépendants et paysans
EL011_L_1958_11_089_03_1_PF_01,Yonne,minotier,non mentionné,23/11/1958,Non mentionné
EL011_L_1958_11_089_03_1_PF_02,Yonne,répétiteur enseignement technique,Parti communiste français,23/11/1958,Parti communiste français
EL011_L_1958_11_089_03_1_PF_03,Yonne,directeur administrateur de sociétés,sans parti politique,23/11/1958,Sans parti
EL011_L_1958_11_089_03_1_PF_04,Yonne,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,23/11/1958,SFIO
EL011_L_1958_11_089_03_1_PF_05,Yonne,rédacteur en chef journal,Fédération des républicains indépendants paysans,23/11/1958,CNIP / Indépendants et paysans
EL009_L_1958_11_007_01_2_PF_01,Ardèche,commerçant,Union pour la nouvelle République,30/11/1958,UNR
EL009_L_1958_11_007_01_2_PF_02,Ardèche,agriculteur,Fédération socialiste,30/11/1958,Socialiste indépendant / social-démocrate
EL009_L_1958_11_007_01_2_PF_03,Ardèche,maître-mécanicien,indépendant,30/11/1958,Indépendant
EL009_L_1958_11_007_01_2_PF_04,Ardèche,non mentionné,Parti communiste français,30/11/1958,Parti communiste français
EL009_L_1958_11_007_02_2_PF_01,Ardèche,ouvrier mécanicien,Parti communiste français,30/11/1958,Parti communiste français
EL009_L_1958_11_007_02_2_PF_02,Ardèche,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,30/11/1958,SFIO
EL009_L_1958_11_007_02_2_PF_03,Ardèche,non mentionné,Républicain indépendant,30/11/1958,Républicains indépendants
EL009_L_1958_11_007_03_2_PF_01,Ardèche,imprimeur-directeur journal,Union pour la nouvelle République,30/11/1958,UNR
EL009_L_1958_11_007_03_2_PF_02,Ardèche,non mentionné,Parti communiste français,30/11/1958,Parti communiste français
EL009_L_1958_11_007_03_2_PF_03,Ardèche,non mentionné,Union républicaine ardéchoise,30/11/1958,Liste locale / régionale
EL009_L_1958_11_007_03_2_PF_04,Ardèche,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,30/11/1958,SFIO
EL009_L_1958_11_031_01_2_PF_01,Haute-Garonne,chargé de cours Institut du Génie chimique,Union pour la nouvelle République,30/11/1958,UNR
EL009_L_1958_11_031_01_2_PF_02,Haute-Garonne,ouvrier chimiste,Parti communiste français,30/11/1958,Parti communiste français
EL009_L_1958_11_031_01_2_PF_03,Haute-Garonne,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,30/11/1958,SFIO
EL009_L_1958_11_031_02_2_PF_01,Haute-Garonne,cheminot,Parti communiste français,30/11/1958,Parti communiste français
EL009_L_1958_11_031_02_2_PF_02,Haute-Garonne,sous-préfet honoraire,Union pour la nouvelle République,30/11/1958,UNR
EL009_L_1958_11_031_02_2_PF_03,Haute-Garonne,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,30/11/1958,SFIO
EL009_L_1958_11_031_02_2_PF_04,Haute-Garonne,administrateur civil Service de l'Action sociale,Centre national des indépendants,30/11/1958,CNIP / Indépendants et paysans
EL009_L_1958_11_031_03_2_PF_01,Haute-Garonne,avocat,Union pour la nouvelle République,30/11/1958,UNR
EL009_L_1958_11_031_03_2_PF_02,Haute-Garonne,professeur,Parti socialiste Section française de l'Internationale ouvrière,30/11/1958,SFIO
EL009_L_1958_11_031_04_2_PF_01,Haute-Garonne,chauffeur-placier,Union pour la nouvelle République,30/11/1958,UNR
EL009_L_1958_11_031_04_2_PF_02,Haute-Garonne,docteur,Démocrates chrétiens,30/11/1958,Démocratie chrétienne
EL009_L_1958_11_031_04_2_PF_03,Haute-Garonne,employé,Parti communiste français,30/11/1958,Parti communiste français
EL009_L_1958_11_031_04_2_PF_04,Haute-Garonne,non mentionné,Parti socialiste Section française de l'Internationale ouvrière,30/11/1958,SFIO
EL009_L_1958_11_031_05_2_PF_01,Haute-Garonne,agriculteur,Parti communiste français,30/11/1958,Parti communiste français
EL009_L_1958_11_031_05_2_PF_02,Haute-Garonne,non mentionné,Centre républicain,30/11/1958,Centre républicain
